模型,准确率,宏平均召回率
GNB,0.9039780521262003,0.9039199747098406
LDA,0.8655692729766804,0.8659734453326107
LogReg,0.9368998628257887,0.9369665356997697
SVM,0.906721536351166,0.9069344713905071
