146,-274,-329
182,-237,-410
198,-176,-420
255,52,-491
203,140,-524
202,-77,-438
187,-150,-382
230,-177,-326
255,-145,-342
305,-111,-353
330,-97,-340
337,4,-421
334,39,-455
424,158,-420
465,250,-347
476,319,-230
409,370,-7
376,337,73
302,235,189
291,180,202
315,55,180
340,13,150
398,-70,-14
382,-115,-131
261,-154,-307
154,-160,-361
-124,-134,-301
-231,-81,-176
-260,-41,-48
-257,-40,-35
-262,-26,-70
-255,16,-253
-228,72,-353
-27,198,-551
111,257,-572
359,354,-419
414,389,-261
348,418,8
274,400,121
156,344,226
189,277,244
277,77,221
302,7,181
326,-97,78
325,-150,-14
167,-222,-217
82,-204,-293
-24,-162,-333
-212,-69,-251
-260,-36,-147
-276,12,11
-264,7,43
-271,-12,-38
-272,-2,-143
-242,63,-311
-188,100,-407
-10,206,-549
136,236,-573
395,320,-423
447,335,-284
403,354,1
353,336,97
287,248,215
264,169,248
245,68,257
272,-86,173
306,-144,77
269,-216,-155
204,-230,-217
50,-204,-302
-63,-147,-328
-268,20,-218
-299,68,-105
-271,72,46
-250,33,83
-246,-25,25
-261,-30,-87
-214,38,-343
-176,82,-416
-62,188,-523
53,249,-561
163,297,-557
343,386,-419
384,417,-301
412,354,-21
384,316,78
324,208,198
304,130,228
269,7,234
271,-44,210
313,-157,61
311,-192,-27
275,-201,-212
232,-179,-305
80,-57,-469
-22,13,-487
-116,54,-455
-245,100,-324
-273,84,-244
-278,36,-53
-268,30,-5
-276,12,-94
-265,18,-207
-242,73,-316
-229,91,-348
-123,167,-483
-14,215,-544
188,326,-540
258,359,-504
395,398,-322
426,389,-198
425,276,45
389,238,124
348,192,186
288,68,234
276,6,225
294,-134,116
278,-189,48
254,-232,-94
238,-229,-174
147,-185,-333
67,-128,-404
-150,9,-399
-233,45,-303
-291,83,-102
-283,71,-40
-261,44,22
-263,28,-4
-268,17,-136
-258,38,-225
-222,84,-348
-140,177,-472
-73,226,-521
135,282,-564
215,330,-542
370,350,-430
420,355,-338
452,307,-57
431,272,36
378,194,154
336,151,204
261,48,250
240,-8,245
267,-140,139
286,-188,42
269,-221,-131
246,-212,-219
200,-179,-324
-18,-69,-431
-117,10,-425
-254,116,-293
-281,129,-206
-286,87,-101
-279,47,-68
-262,-11,-122
-248,8,-231
-206,167,-399
-180,243,-434
-72,315,-512
53,331,-551
306,374,-473
383,383,-365
436,359,-94
427,296,31
395,238,121
286,143,242
249,77,262
263,-69,203
316,-126,107
353,-155,-213
303,-124,-345
98,-36,-490
-43,4,-476
-218,54,-345
-265,79,-265
-291,85,-120
-288,76,-62
-287,55,-83
-285,60,-161
-257,96,-295
-241,122,-336
-210,146,-389
-91,217,-507
16,253,-554
269,299,-526
354,344,-444
460,337,-162
441,304,-6
361,198,176
310,127,229
238,-31,237
229,-93,202
247,-211,39
234,-241,-65
116,-240,-226
30,-199,-295
-107,-36,-402
-170,45,-394
-248,91,-292
-285,138,-128
-281,124,-97
-282,82,-92
-278,62,-139
-273,102,-192
-268,133,-234
-237,228,-334
-195,279,-398
3,317,-553
130,339,-566
361,344,-469
448,323,-372
482,292,-115
465,256,-1
378,198,163
317,161,222
267,93,255
184,-41,249
170,-108,211
234,-224,2
279,-215,-165
256,-113,-401
185,-54,-479
-14,99,-536
-90,141,-506
-193,175,-416
-226,159,-360
-267,51,-211
-280,36,-159
-285,63,-136
-281,131,-168
-246,235,-297
-196,273,-388
-134,289,-463
100,286,-576
239,269,-560
459,265,-352
492,281,-195
417,244,88
365,172,173
208,79,273
143,52,284
47,13,277
28,-24,262
36,-135,194
24,-182,138
-69,-215,-22
-111,-196,-103
-239,-57,-153
-277,15,-118
-286,76,-40
-258,95,65
-247,82,89
-222,111,143
-224,142,134
-288,190,-68
-277,269,-180
-216,382,-306
-148,421,-386
121,480,-489
296,458,-451
452,389,-180
440,340,-11
302,242,208
282,142,243
367,6,165
374,-45,133
378,-78,99
445,-59,-57
477,8,-137
493,115,-246
481,184,-306
349,246,-491
225,182,-555
-61,133,-512
-168,137,-436
-291,150,-204
-294,176,-123
-267,230,-1
-265,222,25
-286,182,-39
-289,188,-136
-219,271,-361
-168,318,-420
-90,364,-482
150,487,-499
266,513,-412
405,455,-212
424,391,-78
378,271,136
349,197,196
245,39,269
196,-20,271
153,-138,212
146,-194,150
136,-267,-57
92,-258,-166
-64,-174,-284
-141,-99,-315
-266,69,-266
-294,118,-199
-289,94,-126
-270,8,-105
-274,16,-128
-288,60,-145
-289,77,-156
-275,179,-259
-246,252,-337
-65,402,-487
68,445,-515
251,508,-430
330,504,-331
419,382,-64
407,295,59
350,200,190
311,140,236
256,-33,237
240,-105,200
225,-166,146
204,-246,-27
190,-250,-142
54,-198,-306
-42,-155,-322
-221,-27,-255
-265,25,-195
